productId,title,description,imageUrlStr,mrp,price,productUrl,categories,productBrand,deliveryTime,inStock,codAvailable,emiAvailable,offers,discount,cashBack,size,color,sizeUnit,sizeVariants,colorVariants,styleCode
MOBDDH5YAZU3RSH3,Samsung Champ Neo Duos C3262 Ceramic White,,"http://img6a.flixcart.com/image/mobile/s/h/3/samsung-champ-neo-duos-c3262-400x400-imaddh56p4vdbe4p.jpeg,http://img6a.flixcart.com/image/mobile/s/h/3/samsung-champ-neo-duos-c3262-275x275-imaddh56p4vdbe4p.jpeg,http://img5a.flixcart.com/image/mobile/s/h/3/samsung-champ-neo-duos-c3262-75x75-imaddh56p4vdbe4p.jpeg,http://img5a.flixcart.com/image/mobile/s/h/3/samsung-champ-neo-duos-c3262-125x125-imaddh56p4vdbe4p.jpeg,http://img6a.flixcart.com/image/mobile/s/h/3/samsung-champ-neo-duos-c3262-40x40-imaddh56p4vdbe4p.jpeg,http://img5a.flixcart.com/image/mobile/s/h/3/samsung-champ-neo-duos-c3262-100x100-imaddh56p4vdbe4p.jpeg,http://img5a.flixcart.com/image/mobile/s/h/3/samsung-champ-neo-duos-c3262-200x200-imaddh56p4vdbe4p.jpeg,http://img6a.flixcart.com/image/mobile/s/h/3/samsung-champ-neo-duos-c3262-original-imaddh56p4vdbe4p.jpeg","5000.0,INR",5000,http://dl.flipkart.com/dl/samsung-champ-neo-duos-c3262/p/itme6g49qhtzgeyf?pid=MOBDDH5YAZU3RSH3,Mobiles & Accessories>Mobiles,Samsung,,TRUE,TRUE,FALSE,"[{""title"":""""}]",0,"0.0,INR",,Ceramic White,,[MOBDDQN86RANYMYT],[MOBDDQN86RANYMYT],
MOBDJUH4ZPU4FBGX,"Lava Iris 455 Black, 4 GB",,"http://img5a.flixcart.com/image/mobile/b/g/x/lava-iris-455-400x400-imadjvn552w6vann.jpeg,http://img6a.flixcart.com/image/mobile/b/g/x/lava-iris-455-75x75-imadjvn552w6vann.jpeg,http://img5a.flixcart.com/image/mobile/b/g/x/lava-iris-455-275x275-imadjvn552w6vann.jpeg,http://img6a.flixcart.com/image/mobile/b/g/x/lava-iris-455-125x125-imadjvn552w6vann.jpeg,http://img6a.flixcart.com/image/mobile/b/g/x/lava-iris-455-40x40-imadjvn552w6vann.jpeg,http://img5a.flixcart.com/image/mobile/b/g/x/lava-iris-455-100x100-imadjvn552w6vann.jpeg,http://img6a.flixcart.com/image/mobile/b/g/x/lava-iris-455-200x200-imadjvn552w6vann.jpeg,http://img6a.flixcart.com/image/mobile/b/g/x/lava-iris-455-original-imadjvn552w6vann.jpeg","7999.0,INR",5100,http://dl.flipkart.com/dl/lava-iris-455/p/itmdjvk5q82zjxqf?pid=MOBDJUH4ZPU4FBGX,Mobiles & Accessories>Mobiles,Lava,,TRUE,TRUE,FALSE,"[{""title"":""""}]",0,"0.0,INR",,Black,,[],,
MOBDQGFG7GF4RVPC,"Gionee P2 Black, 4 GB",,"http://img6a.flixcart.com/image/mobile/v/p/c/gionee-p2-400x400-imadqgfrh5x4yzpp.jpeg,http://img6a.flixcart.com/image/mobile/v/p/c/gionee-p2-75x75-imadqgfrh5x4yzpp.jpeg,http://img5a.flixcart.com/image/mobile/v/p/c/gionee-p2-275x275-imadqgfrh5x4yzpp.jpeg,http://img6a.flixcart.com/image/mobile/v/p/c/gionee-p2-125x125-imadqgfrh5x4yzpp.jpeg,http://img5a.flixcart.com/image/mobile/v/p/c/gionee-p2-40x40-imadqgfrh5x4yzpp.jpeg,http://img6a.flixcart.com/image/mobile/v/p/c/gionee-p2-100x100-imadqgfrh5x4yzpp.jpeg,http://img5a.flixcart.com/image/mobile/v/p/c/gionee-p2-200x200-imadqgfrh5x4yzpp.jpeg,http://img5a.flixcart.com/image/mobile/v/p/c/gionee-p2-original-imadqgfrh5x4yzpp.jpeg","5899.0,INR",5151,http://dl.flipkart.com/dl/gionee-p2/p/itme6g4fnk4vnhup?pid=MOBDQGFG7GF4RVPC,Mobiles & Accessories>Mobiles,Gionee,,TRUE,TRUE,FALSE,"[{""title"":""""}]",0,"0.0,INR",,Black,,[MOBDQJZ88EGSQZ3H],[MOBDQJZ88EGSQZ3H],
MOBDQJZ88EGSQZ3H,"Gionee P2 White, 4 GB",,"http://img5a.flixcart.com/image/mobile/z/3/h/gionee-p2-400x400-imadqjpf5nzzs4ag.jpeg,http://img5a.flixcart.com/image/mobile/z/3/h/gionee-p2-75x75-imadqjpf5nzzs4ag.jpeg,http://img6a.flixcart.com/image/mobile/z/3/h/gionee-p2-275x275-imadqjpf5nzzs4ag.jpeg,http://img5a.flixcart.com/image/mobile/z/3/h/gionee-p2-125x125-imadqjpf5nzzs4ag.jpeg,http://img6a.flixcart.com/image/mobile/z/3/h/gionee-p2-40x40-imadqjpf5nzzs4ag.jpeg,http://img6a.flixcart.com/image/mobile/z/3/h/gionee-p2-100x100-imadqjpf5nzzs4ag.jpeg,http://img6a.flixcart.com/image/mobile/z/3/h/gionee-p2-200x200-imadqjpf5nzzs4ag.jpeg,http://img6a.flixcart.com/image/mobile/z/3/h/gionee-p2-original-imadqjpf5nzzs4ag.jpeg","6490.0,INR",5249,http://dl.flipkart.com/dl/gionee-p2/p/itme6g4fnk4vnhup?pid=MOBDQJZ88EGSQZ3H,Mobiles & Accessories>Mobiles,Gionee,,TRUE,TRUE,FALSE,"[{""title"":""""}]",0,"0.0,INR",,White,,[MOBDQGFG7GF4RVPC],[MOBDQGFG7GF4RVPC],
MOBDGCBGATKPY8MH,Samsung Rex 90 S5292 Gold Brown,,"http://img5a.flixcart.com/image/mobile/8/m/h/samsung-rex-90-s5292r-400x400-imadjypjf4ddcujb.jpeg,http://img6a.flixcart.com/image/mobile/8/m/h/samsung-rex-90-s5292r-75x75-imadjypjf4ddcujb.jpeg,http://img6a.flixcart.com/image/mobile/8/m/h/samsung-rex-90-s5292r-275x275-imadjypjf4ddcujb.jpeg,http://img5a.flixcart.com/image/mobile/8/m/h/samsung-rex-90-s5292r-125x125-imadjypjf4ddcujb.jpeg,http://img5a.flixcart.com/image/mobile/8/m/h/samsung-rex-90-s5292r-40x40-imadjypjf4ddcujb.jpeg,http://img5a.flixcart.com/image/mobile/8/m/h/samsung-rex-90-s5292r-100x100-imadjypjf4ddcujb.jpeg,http://img5a.flixcart.com/image/mobile/8/m/h/samsung-rex-90-s5292r-200x200-imadjypjf4ddcujb.jpeg,http://img5a.flixcart.com/image/mobile/8/m/h/samsung-rex-90-s5292r-original-imadjypjf4ddcujb.jpeg","6000.0,INR",5250,http://dl.flipkart.com/dl/samsung-rex-90-s5292/p/itme6g49zjpxdx4n?pid=MOBDGCBGATKPY8MH,Mobiles & Accessories>Mobiles,Samsung,,TRUE,TRUE,FALSE,"[{""title"":""""}]",0,"0.0,INR",,Gold Brown,,[MOBDGCD6FNS9CZVC],[MOBDGCD6FNS9CZVC],
MOBDPV9Z8JTYYSFS,"Micromax Canvas Fun A63 Yellow, 2 GB",,"http://img6a.flixcart.com/image/mobile/s/f/s/micromax-canvas-fun-a63-400x400-imadpv9suge5xkfb.jpeg,http://img5a.flixcart.com/image/mobile/s/f/s/micromax-canvas-fun-a63-75x75-imadpv9suge5xkfb.jpeg,http://img5a.flixcart.com/image/mobile/s/f/s/micromax-canvas-fun-a63-275x275-imadpv9suge5xkfb.jpeg,http://img6a.flixcart.com/image/mobile/s/f/s/micromax-canvas-fun-a63-125x125-imadpv9suge5xkfb.jpeg,http://img6a.flixcart.com/image/mobile/s/f/s/micromax-canvas-fun-a63-40x40-imadpv9suge5xkfb.jpeg,http://img5a.flixcart.com/image/mobile/s/f/s/micromax-canvas-fun-a63-100x100-imadpv9suge5xkfb.jpeg,http://img6a.flixcart.com/image/mobile/s/f/s/micromax-canvas-fun-a63-200x200-imadpv9suge5xkfb.jpeg,http://img6a.flixcart.com/image/mobile/s/f/s/micromax-canvas-fun-a63-original-imadpv9suge5xkfb.jpeg","6999.0,INR",5250,http://dl.flipkart.com/dl/micromax-canvas-fun-a63/p/itme6g4gsmuud8jp?pid=MOBDPV9Z8JTYYSFS,Mobiles & Accessories>Mobiles,Micromax,,TRUE,TRUE,FALSE,"[{""title"":""""}]",0,"0.0,INR",,Yellow,,"[MOBDZMXAAGUHPRFN, MOBDZR84AEMMXHNU]","[MOBDZMXAAGUHPRFN, MOBDZR84AEMMXHNU]",
MOBDMNNAFPA3HWUX,"Spice Stellar Virtuoso Pro Mi-491 Black, 4 GB",,"http://img5a.flixcart.com/image/mobile/w/u/x/spice-stellar-virtuoso-pro-stellar-virtuoso-pro-mi-491-400x400-imadmnzjtzhpzzqf.jpeg,http://img5a.flixcart.com/image/mobile/w/u/x/spice-stellar-virtuoso-pro-stellar-virtuoso-pro-mi-491-275x275-imadmnzjtzhpzzqf.jpeg,http://img6a.flixcart.com/image/mobile/w/u/x/spice-stellar-virtuoso-pro-stellar-virtuoso-pro-mi-491-75x75-imadmnzjtzhpzzqf.jpeg,http://img6a.flixcart.com/image/mobile/w/u/x/spice-stellar-virtuoso-pro-stellar-virtuoso-pro-mi-491-125x125-imadmnzjtzhpzzqf.jpeg,http://img5a.flixcart.com/image/mobile/w/u/x/spice-stellar-virtuoso-pro-stellar-virtuoso-pro-mi-491-40x40-imadmnzjtzhpzzqf.jpeg,http://img6a.flixcart.com/image/mobile/w/u/x/spice-stellar-virtuoso-pro-stellar-virtuoso-pro-mi-491-100x100-imadmnzjtzhpzzqf.jpeg,http://img5a.flixcart.com/image/mobile/w/u/x/spice-stellar-virtuoso-pro-stellar-virtuoso-pro-mi-491-200x200-imadmnzjtzhpzzqf.jpeg,http://img6a.flixcart.com/image/mobile/w/u/x/spice-stellar-virtuoso-pro-stellar-virtuoso-pro-mi-491-original-imadmnzjtzhpzzqf.jpeg","7999.0,INR",5290,http://dl.flipkart.com/dl/spice-stellar-virtuoso-pro-mi-491/p/itmdmnngbaj7zpr5?pid=MOBDMNNAFPA3HWUX,Mobiles & Accessories>Mobiles,Spice,,TRUE,TRUE,FALSE,"[{""title"":""""}]",0,"0.0,INR",,Black,,[],,
MOBDGZKFHP6FCKAC,"Sony Xperia E White, 4 GB","<p> With smartphones ruling the roost in the mobile market, the need of the hour is a phone that makes both you and your wallet happy. Sony seeks to satisfy the craving for a budget Android phone without skimming on the features with the Sony Xperia E.</p> <p> <strong>3.5 inch TFT 320 x 480 pixels display</strong></p> <p> A beautiful TFT screen with 320 x 480 pixels to bring alive everything that entertainment has to offer in crystal clear, bright tones. The 3.5 inch screen is just the right size to fit into the palm without being unwieldy.</p> <p> <strong>1 GHz Qualcomm Snapdragon processor for faster processing</strong></p> <p> A 1 Ghz Qualcomm Snapdragon processor aided by a 512 MB RAM ensures that your applications are processed really fast. It also ensures that you have good speed while flicking through the menus and there is no annoying lag to irritate you.</p> <p> <strong>3.2 megapixel camera with 4x digital zoom</strong></p> <p> The Xperia E comes with a 3.2 megapixel camera that allows you to capture all the goings-on in your life without missing a beat. Relive moments with all the intensity of 4x digital zoom that the camera comes with.</p> <p> <strong>Integrated WALKMAN app</strong></p> <p> This app that comes with the smartphone allows you to listen to great music when you want it, the way you want it. You can create playlists, crank up the volume, enhance the bass or the treble and get the sound mix just right &ndash; ultimate freedom with music.</p> <p> <strong>HD Voice &amp; Noise Suppression</strong></p> <p> When you are talking to a loved one, the Xperia E makes it sound like you are right next to them with HD Voice &ndash; superb clarity with next to nil background noise to disturb the flow of your conversation. Talk from anywhere without any disturbance whatsoever.</p> <p> <strong>Powered by Android v4.1 Jelly Bean OS</strong></p> <p> The smartphone is shipped with the Jelly Bean operating system that is smooth and fluid with intuitive performance to allow for a more user-friendly experience. Android v4.1 also has a great user interface that you will get used to in a jiffy.</p>","http://img5a.flixcart.com/image/mobile/k/a/c/sony-xperia-e-400x400-imadzbjxd6zrp7fk.jpeg,http://img6a.flixcart.com/image/mobile/k/a/c/sony-xperia-e-275x275-imadzbjxd6zrp7fk.jpeg,http://img5a.flixcart.com/image/mobile/k/a/c/sony-xperia-e-75x75-imadzbjxd6zrp7fk.jpeg,http://img6a.flixcart.com/image/mobile/k/a/c/sony-xperia-e-125x125-imadzbjxd6zrp7fk.jpeg,http://img5a.flixcart.com/image/mobile/k/a/c/sony-xperia-e-40x40-imadzbjxd6zrp7fk.jpeg,http://img6a.flixcart.com/image/mobile/k/a/c/sony-xperia-e-100x100-imadzbjxd6zrp7fk.jpeg,http://img6a.flixcart.com/image/mobile/k/a/c/sony-xperia-e-200x200-imadzbjxd6zrp7fk.jpeg,http://img5a.flixcart.com/image/mobile/k/a/c/sony-xperia-e-original-imadzbjxd6zrp7fk.jpeg","6990.0,INR",5298,http://dl.flipkart.com/dl/sony-xperia-e/p/itme6g4dktcqfyzq?pid=MOBDGZKFHP6FCKAC,Mobiles & Accessories>Mobiles,Sony,,TRUE,TRUE,TRUE,"[{""title"":""Buy Mobiles along with CasesAndCovers and get 10% off on CasesAndCovers""}]",0,"0.0,INR",,White,,"[MOBDGZKF3SHCAXXH, MOBDGZKFPZRCGZKC]","[MOBDGZKF3SHCAXXH, MOBDGZKFPZRCGZKC]",
MOBDMVFRZG5ND4BG,"Videocon A53 White Chrome, 4 GB",,"http://img5a.flixcart.com/image/mobile/4/b/g/videocon-a53-400x400-imadmvjyrsgjuazt.jpeg,http://img6a.flixcart.com/image/mobile/4/b/g/videocon-a53-275x275-imadmvjyrsgjuazt.jpeg,http://img5a.flixcart.com/image/mobile/4/b/g/videocon-a53-75x75-imadmvjyrsgjuazt.jpeg,http://img6a.flixcart.com/image/mobile/4/b/g/videocon-a53-125x125-imadmvjyrsgjuazt.jpeg,http://img5a.flixcart.com/image/mobile/4/b/g/videocon-a53-40x40-imadmvjyrsgjuazt.jpeg,http://img5a.flixcart.com/image/mobile/4/b/g/videocon-a53-100x100-imadmvjyrsgjuazt.jpeg,http://img6a.flixcart.com/image/mobile/4/b/g/videocon-a53-200x200-imadmvjyrsgjuazt.jpeg,http://img5a.flixcart.com/image/mobile/4/b/g/videocon-a53-original-imadmvjyrsgjuazt.jpeg","11499.0,INR",5299,http://dl.flipkart.com/dl/videocon-a53/p/itme6g3gapyhyfg3?pid=MOBDMVFRZG5ND4BG,Mobiles & Accessories>Mobiles,Videocon,,TRUE,TRUE,TRUE,"[{""title"":""""}]",0,"0.0,INR",,White Chrome,,"[MOBEF7FP4MN2DK3Y, MOBEF7FPTNGPTPS2]","[MOBEF7FP4MN2DK3Y, MOBEF7FPTNGPTPS2]",
MOBDPEPF3CGHYV77,"Karbonn A99 Black, 4 GB",,"http://img6a.flixcart.com/image/mobile/v/7/7/karbonn-a99-400x400-imadpepzzfzxygc7.jpeg,http://img6a.flixcart.com/image/mobile/v/7/7/karbonn-a99-75x75-imadpepzzfzxygc7.jpeg,http://img5a.flixcart.com/image/mobile/v/7/7/karbonn-a99-275x275-imadpepzzfzxygc7.jpeg,http://img5a.flixcart.com/image/mobile/v/7/7/karbonn-a99-125x125-imadpepzzfzxygc7.jpeg,http://img6a.flixcart.com/image/mobile/v/7/7/karbonn-a99-40x40-imadpepzzfzxygc7.jpeg,http://img6a.flixcart.com/image/mobile/v/7/7/karbonn-a99-100x100-imadpepzzfzxygc7.jpeg,http://img6a.flixcart.com/image/mobile/v/7/7/karbonn-a99-200x200-imadpepzzfzxygc7.jpeg,http://img5a.flixcart.com/image/mobile/v/7/7/karbonn-a99-original-imadpepzzfzxygc7.jpeg","6190.0,INR",5359,http://dl.flipkart.com/dl/karbonn-a99/p/itme6g4c4wet8djc?pid=MOBDPEPF3CGHYV77,Mobiles & Accessories>Mobiles,Karbonn,,TRUE,TRUE,FALSE,"[{""title"":""Buy Mobiles along with CasesAndCovers and get 10% off on CasesAndCovers""}]",0,"0.0,INR",,Black,,[MOBDPEPFBXUAVDJY],[MOBDPEPFBXUAVDJY],
